<NUMBER OF ZONES> 36												
<NUMBER OF NODES> 398												
<FIRST THRU NODE> 37												
<NUMBER OF LINKS> 871												
<ORIGINAL HEADER>~ 	Init node 	Term node 	Capacity 	Length 	Free Flow Time 	B 	Power 	Speed limit 	Toll 			
 	8	361	999999	0	0	0	4	0	0	0	0	; 
 	8	364	999999	0	0	0	4	0	0	0	0	; 
 	9	158	999999	0	0	0	4	0	0	0	0	; 
 	9	168	999999	0	0	0	4	0	0	0	0	; 
 	9	176	999999	0	0	0	4	0	0	0	2.534510157	; 
 	9	362	999999	0	0	0	4	0	0	0	0	; 
 	10	140	999999	0	0	0	4	0	0	0	0	; 
 	10	142	999999	0	0	0	4	0	0	0	0	; 
 	10	144	999999	0	0	0	4	0	0	0	0	; 
 	10	146	999999	0	0	0	4	0	0	0	0	; 
 	11	63	999999	0	0	0	4	0	0	0	0	; 
 	11	275	999999	0	0	0	4	0	0	0	0	; 
 	11	279	999999	0	0	0	4	0	0	0	0	; 
 	11	283	999999	0	0	0	4	0	0	0	0	; 
 	12	112	999999	0	0	0	4	0	0	0	0	; 
 	12	114	999999	0	0	0	4	0	0	0	0	; 
 	12	120	999999	0	0	0	4	0	0	0	0	; 
 	12	121	999999	0	0	0	4	0	0	0	0	; 
 	13	166	999999	0	0	0	4	0	0	0	0	; 
 	13	201	999999	0	0	0	4	0	0	0	0	; 
 	13	203	999999	0	0	0	4	0	0	0	0	; 
 	13	398	999999	0	0	0	4	0	0	0	0	; 
 	14	128	999999	0	0	0	4	0	0	0	0	; 
 	14	129	999999	0	0	0	4	0	0	0	0	; 
 	14	130	999999	0	0	0	4	0	0	0	0	; 
 	14	133	999999	0	0	0	4	0	0	0	0	; 
 	15	165	999999	0	0	0	4	0	0	0	0	; 
 	15	175	999999	0	0	0	4	0	0	0	0	; 
 	15	177	999999	0	0	0	4	0	0	0	0	; 
 	15	191	999999	0	0	0	4	0	0	0	0	; 
 	16	75	999999	0	0	0	4	0	0	0	0	; 
 	16	241	999999	0	0	0	4	0	0	0	0	; 
 	16	246	999999	0	0	0	4	0	0	0	0	; 
 	16	317	999999	0	0	0	4	0	0	0	0	; 
 	17	70	999999	0	0	0	4	0	0	0	0	; 
 	17	251	999999	0	0	0	4	0	0	0	0	; 
 	17	270	999999	0	0	0	4	0	0	0	0	; 
 	17	273	999999	0	0	0	4	0	0	0	0	; 
 	18	70	999999	0	0	0	4	0	0	0	0	; 
 	18	73	999999	0	0	0	4	0	0	0	0	; 
 	18	75	999999	0	0	0	4	0	0	0	0	; 
 	18	241	999999	0	0	0	4	0	0	0	0	; 
 	19	287	999999	0	0	0	4	0	0	0	0	; 
 	19	291	999999	0	0	0	4	0	0	0	0	; 
 	19	292	999999	0	0	0	4	0	0	0	0	; 
 	19	357	999999	0	0	0	4	0	0	0	0	; 
 	20	217	999999	0	0	0	4	0	0	0	0	; 
 	20	220	999999	0	0	0	4	0	0	0	0	; 
 	20	221	999999	0	0	0	4	0	0	0	0	; 
 	20	238	999999	0	0	0	4	0	0	0	0	; 
 	21	312	999999	0	0	0	4	0	0	0	0	; 
 	21	372	999999	0	0	0	4	0	0	0	0	; 
 	21	373	999999	0	0	0	4	0	0	0	0	; 
 	21	375	999999	0	0	0	4	0	0	0	0	; 
 	22	228	999999	0	0	0	4	0	0	0	2.556479328	; 
 	22	285	999999	0	0	0	4	0	0	0	0	; 
 	22	286	999999	0	0	0	4	0	0	0	0	; 
 	22	287	999999	0	0	0	4	0	0	0	0	; 
 	23	222	999999	0	0	0	4	0	0	0	0	; 
 	23	224	999999	0	0	0	4	0	0	0	0	; 
 	23	226	999999	0	0	0	4	0	0	0	0	; 
 	23	231	999999	0	0	0	4	0	0	0	0	; 
 	24	317	999999	0	0	0	4	0	0	0	0	; 
 	24	379	999999	0	0	0	4	0	0	0	0	; 
 	24	383	999999	0	0	0	4	0	0	0	0	; 
 	24	385	999999	0	0	0	4	0	0	0	0	; 
 	25	315	999999	0	0	0	4	0	0	0	0	; 
 	25	331	999999	0	0	0	4	0	0	0	0	; 
 	25	332	999999	0	0	0	4	0	0	0	0	; 
 	25	334	999999	0	0	0	4	0	0	0	0	; 
 	26	327	999999	0	0	0	4	0	0	0	0	; 
 	26	328	999999	0	0	0	4	0	0	0	0	; 
 	26	332	999999	0	0	0	4	0	0	0	0	; 
 	26	335	999999	0	0	0	4	0	0	0	2.002073345	; 
 	27	68	999999	0	0	0	4	0	0	0	0	; 
 	27	78	999999	0	0	0	4	0	0	0	0	; 
 	27	276	999999	0	0	0	4	0	0	0	0	; 
 	27	280	999999	0	0	0	4	0	0	0	0	; 
 	28	210	999999	0	0	0	4	0	0	0	0	; 
 	28	213	999999	0	0	0	4	0	0	0	0	; 
 	28	214	999999	0	0	0	4	0	0	0	0	; 
 	28	215	999999	0	0	0	4	0	0	0	0	; 
 	29	46	999999	0	0	0	4	0	0	0	0	; 
 	29	155	999999	0	0	0	4	0	0	0	0	; 
 	29	156	999999	0	0	0	4	0	0	0	0	; 
 	29	157	999999	0	0	0	4	0	0	0	0	; 
 	30	134	999999	0	0	0	4	0	0	0	0	; 
 	30	154	999999	0	0	0	4	0	0	0	0	; 
 	30	156	999999	0	0	0	4	0	0	0	0	; 
 	30	389	999999	0	0	0	4	0	0	0	0	; 
 	31	266	999999	0	0	0	4	0	0	0	0	; 
 	31	267	999999	0	0	0	4	0	0	0	0	; 
 	31	268	999999	0	0	0	4	0	0	0	0	; 
 	31	269	999999	0	0	0	4	0	0	0	0	; 
 	32	79	999999	0	0	0	4	0	0	0	0	; 
 	32	240	999999	0	0	0	4	0	0	0	0	; 
 	32	244	999999	0	0	0	4	0	0	0	0	; 
 	32	270	999999	0	0	0	4	0	0	0	0	; 
 	33	40	999999	0	0	0	4	0	0	0	0	; 
 	33	267	999999	0	0	0	4	0	0	0	2.190038716	; 
 	33	268	999999	0	0	0	4	0	0	0	0	; 
 	33	390	999999	0	0	0	4	0	0	0	0	; 
 	34	89	999999	0	0	0	4	0	0	0	0	; 
 	34	90	999999	0	0	0	4	0	0	0	0	; 
 	34	98	999999	0	0	0	4	0	0	0	0	; 
 	34	102	999999	0	0	0	4	0	0	0	2.848487213	; 
 	35	147	999999	0	0	0	4	0	0	0	0	; 
 	35	148	999999	0	0	0	4	0	0	0	0	; 
 	35	149	999999	0	0	0	4	0	0	0	0	; 
 	35	150	999999	0	0	0	4	0	0	0	0	; 
 	36	240	999999	0	0	0	4	0	0	0	0	; 
 	36	247	999999	0	0	0	4	0	0	0	0	; 
 	36	268	999999	0	0	0	4	0	0	0	0	; 
 	36	354	999999	0	0	0	4	0	0	0	0	; 
 	37	38	2400	1	0.333333	1	4	0	0	0	0	; 
 	37	375	2400	142	4.666667	1	4	0	0	0	0	; 
 	38	37	2400	1	0.333333	1	4	0	0	0	0	; 
 	40	33	999999	0	0	0	4	0	0	0	0	; 
 	40	390	2400	24	0.666667	1	4	0	0	0	0	; 
 	41	101	600	315	8	1	4	0	0	0	0	; 
 	41	113	600	240	6	1	4	0	0	0	0	; 
 	42	41	600	196	5	1	4	0	0	0	0	; 
 	44	46	2800	44	1.333333	1	4	0	0	0	0	; 
 	44	47	2800	320	18.333333	1	4	0	0	0	1.061270548	; 
 	45	46	2800	321	19.333333	1	4	0	0	0	0	; 
 	45	47	2800	39	1.333333	1	4	0	0	0	0	; 
 	46	29	999999	0	0	0	4	0	0	0	0	; 
 	46	49	2800	35	1.333333	1	4	0	0	0	0	; 
 	46	212	2800	82	2	1	4	0	0	0	0	; 
 	47	66	2800	23	0.666667	1	4	0	0	0	0	; 
 	48	44	2800	37	1.666667	1	4	0	0	0	0	; 
 	49	48	2800	43	5.333333	1	4	0	0	0	0	; 
 	49	157	2400	251	6.333333	1	4	0	0	0	0	; 
 	50	7	999999	0	0	0	4	0	0	0	0	; 
 	50	51	2800	126	9	1	4	0	0	0	0	; 
 	51	7	999999	0	0	0	4	0	0	0	0	; 
 	51	54	2400	30	1	1	4	0	0	0	0	; 
 	51	58	2800	51	1.666667	1	4	0	0	0	0	; 
 	51	196	2400	194	9.333333	1	4	0	0	0	0	; 
 	52	54	2800	92	7.666667	1	4	0	0	0	0	; 
 	52	163	900	125	4.666667	1	4	0	0	0	0	; 
 	53	50	2800	114	3.333333	1	4	0	0	0	0	; 
 	54	51	2800	30	1.666667	1	4	0	0	0	0	; 
 	54	55	2800	103	3.666667	1	4	0	0	0	0	; 
 	54	163	900	105	3	1	4	0	0	0	0	; 
 	55	7	999999	0	0	0	4	0	0	0	0	; 
 	55	59	2800	139	3.333333	1	4	0	0	0	0	; 
 	56	53	2800	46	1	1	4	0	0	0	0	; 
 	57	64	2800	272	9.666667	1	4	0	0	0	0	; 
 	58	57	2800	64	1.666667	1	4	0	0	0	0	; 
 	59	7	999999	0	0	0	4	0	0	0	0	; 
 	59	60	2800	48	1	1	4	0	0	0	0	; 
 	60	61	2800	56	1.333333	1	4	0	0	0	0	; 
 	60	394	2800	161	3.666667	1	4	0	0	0	0	; 
 	61	172	600	140	4	1	4	0	0	0	0	; 
 	61	393	2800	106	2.666667	1	4	0	0	0	0	; 
 	62	56	2800	132	2.666667	1	4	0	0	0	0	; 
 	63	11	999999	0	0	0	4	0	0	0	0	; 
 	63	52	2800	301	12	1	4	0	0	0	0	; 
 	63	64	2800	23	0.666667	1	4	0	0	0	0	; 
 	63	348	900	90	2.666667	1	4	0	0	0	0	; 
 	64	65	2800	16	0.666667	1	4	0	0	0	0	; 
 	64	279	900	339	8.666667	1	4	0	0	0	0	; 
 	65	63	2800	19	1.333333	1	4	0	0	0	0	; 
 	65	351	2800	115	3.333333	1	4	0	0	0	0	; 
 	66	67	2800	36	1.666667	1	4	0	0	0	0	; 
 	66	193	2400	280	8.666667	1	4	0	0	0	0	; 
 	67	45	2800	22	0.666667	1	4	0	0	0	0	; 
 	67	369	2800	43	1	1	4	0	0	0	0	; 
 	68	27	999999	0	0	0	4	0	0	0	0	; 
 	68	100	600	262	10.666667	1	4	0	0	0	0	; 
 	69	314	2800	133	8	1	4	0	0	0	0	; 
 	70	17	999999	0	0	0	4	0	0	0	0	; 
 	70	18	999999	0	0	0	4	0	0	0	0	; 
 	70	73	900	103	4	1	4	0	0	0	0	; 
 	70	245	900	77	2	1	4	0	0	0	0	; 
 	71	243	900	189	5	1	4	0	0	0	0	; 
 	72	39	900	304	7.333333	1	4	0	0	0	0	; 
 	73	18	999999	0	0	0	4	0	0	0	0	; 
 	73	75	900	348	14.666667	1	4	0	0	0	0	; 
 	74	96	2400	568	30.333333	1	4	0	0	0	0	; 
 	75	16	999999	0	0	0	4	0	0	0	0	; 
 	75	18	999999	0	0	0	4	0	0	0	0	; 
 	75	70	900	451	11.333333	1	4	0	0	0	0	; 
 	75	317	900	445	11	1	4	0	0	0	0	; 
 	76	79	900	178	15.333333	1	4	0	0	0	0	; 
 	77	69	2800	137	7	1	4	0	0	0	0	; 
 	78	27	999999	0	0	0	4	0	0	0	0	; 
 	78	68	600	253	7	1	4	0	0	0	0	; 
 	78	104	600	236	6	1	4	0	0	0	0	; 
 	78	280	600	85	2.666667	1	4	0	0	0	0	; 
 	79	32	999999	0	0	0	4	0	0	0	0	; 
 	79	81	2400	90	6.666667	1	4	0	0	0	0	; 
 	79	251	900	463	14	1	4	0	0	0	0	; 
 	79	273	2400	285	12	1	4	0	0	0	0	; 
 	79	352	2400	310	10	1	4	0	0	0	0	; 
 	80	76	900	457	14.666667	1	4	0	0	0	0	; 
 	80	82	900	34	1.333333	1	4	0	0	0	0	; 
 	80	243	900	66	3	1	4	0	0	0	0	; 
 	81	74	2400	277	18.333333	1	4	0	0	0	0	; 
 	81	79	2400	90	11.333333	1	4	0	0	0	0	; 
 	81	255	900	188	6.666667	1	4	0	0	0	0	; 
 	82	80	900	34	1	1	4	0	0	0	0	; 
 	82	229	900	43	1.333333	1	4	0	0	0	0	; 
 	83	97	2400	65	1.333333	1	4	0	0	0	0	; 
 	83	100	2400	96	12.333333	1	4	0	0	0	0	; 
 	83	344	600	198	15.333333	1	4	0	0	0	0	; 
 	84	85	2400	132	9.666667	1	4	0	0	0	0	; 
 	85	87	2400	197	15.333333	1	4	0	0	0	0	; 
 	85	91	2400	31	1.333333	1	4	0	0	0	0	; 
 	85	252	2400	301	6.333333	1	4	0	0	0	0	; 
 	86	87	600	31	1.333333	1	4	0	0	0	0	; 
 	86	91	2400	198	10.666667	1	4	0	0	0	0	; 
 	86	344	600	137	15.333333	1	4	0	0	0	0	; 
 	87	86	600	31	1.333333	1	4	0	0	0	0	; 
 	87	108	600	174	6.666667	1	4	0	0	0	0	; 
 	87	384	2400	216	6.666667	1	4	0	0	0	0	; 
 	88	85	2400	100	4.333333	1	4	0	0	0	0	; 
 	89	34	999999	0	0	0	4	0	0	0	0	; 
 	89	104	2400	86	2.666667	1	4	0	0	0	0	; 
 	90	34	999999	0	0	0	4	0	0	0	0	; 
 	90	94	2400	165	10.333333	1	4	0	0	0	0	; 
 	91	83	2400	137	8.666667	1	4	0	0	0	0	; 
 	91	85	2400	31	0.666667	1	4	0	0	0	0	; 
 	91	92	2400	128	4.666667	1	4	0	0	0	0	; 
 	92	95	2400	132	8.333333	1	4	0	0	0	0	; 
 	93	86	2400	131	13.333333	1	4	0	0	0	0	; 
 	94	84	2400	128	4	1	4	0	0	0	0	; 
 	94	95	900	38	1.666667	1	4	0	0	0	0	; 
 	94	98	900	192	9.666667	1	4	0	0	0	0	; 
 	95	89	2400	165	5	1	4	0	0	0	0	; 
 	95	94	900	38	2	1	4	0	0	0	0	; 
 	96	88	2400	75	4	1	4	0	0	0	1.689180706	; 
 	97	91	2400	72	1.666667	1	4	0	0	0	0	; 
 	98	34	999999	0	0	0	4	0	0	0	0	; 
 	98	250	900	342	17.333333	1	4	0	0	0	0	; 
 	99	100	2400	102	2	1	4	0	0	0	0	; 
 	100	83	2400	96	2	1	4	0	0	0	0	; 
 	100	106	600	130	4.333333	1	4	0	0	0	0	; 
 	100	320	2400	392	19	1	4	0	0	0	0	; 
 	100	343	600	201	9	1	4	0	0	0	0	; 
 	101	103	600	213	15	1	4	0	0	0	0	; 
 	101	392	600	122	3	1	4	0	0	0	0	; 
 	102	34	999999	0	0	0	4	0	0	0	0	; 
 	102	94	900	297	19	1	4	0	0	0	0	; 
 	103	101	600	213	5.333333	1	4	0	0	0	0	; 
 	103	117	900	38	1.666667	1	4	0	0	0	0	; 
 	103	137	900	78	2.333333	1	4	0	0	0	0	; 
 	104	281	2400	196	9	1	4	0	0	0	0	; 
 	105	78	600	202	5	1	4	0	0	0	0	; 
 	106	78	600	385	11	1	4	0	0	0	0	; 
 	107	87	600	100	2.333333	1	4	0	0	0	0	; 
 	108	107	600	74	2	1	4	0	0	0	0	; 
 	108	385	600	124	3.666667	1	4	0	0	0	0	; 
 	109	90	2400	83	2	1	4	0	0	0	0	; 
 	110	118	900	106	3.666667	1	4	0	0	0	0	; 
 	111	110	900	150	5.333333	1	4	0	0	0	0	; 
 	111	119	900	51	1.333333	1	4	0	0	0	0	; 
 	111	133	900	274	16	1	4	0	0	0	0	; 
 	111	396	900	291	8.666667	1	4	0	0	0	0	; 
 	112	12	999999	0	0	0	4	0	0	0	0	; 
 	112	113	900	178	4.333333	1	4	0	0	0	0	; 
 	113	42	600	44	1	1	4	0	0	0	0	; 
 	113	114	900	202	8.333333	1	4	0	0	0	0	; 
 	113	125	900	128	4	1	4	0	0	0	0	; 
 	114	12	999999	0	0	0	4	0	0	0	0	; 
 	114	120	900	53	2.333333	1	4	0	0	0	0	; 
 	114	121	900	51	1.333333	1	4	0	0	0	0	; 
 	115	41	600	40	1.333333	1	4	0	0	0	0	; 
 	115	113	600	191	6.666667	1	4	0	0	0	0	; 
 	115	116	600	172	6.666667	1	4	0	0	0	0	; 
 	116	118	600	235	13.666667	1	4	0	0	0	0	; 
 	117	103	900	38	2.333333	1	4	0	0	0	0	; 
 	117	115	600	477	17	1	4	0	0	0	0	; 
 	117	118	900	256	6.666667	1	4	0	0	0	0	; 
 	118	111	900	256	11.666667	1	4	0	0	0	0	; 
 	118	115	600	407	19	1	4	0	0	0	0	; 
 	118	117	900	256	11.333333	1	4	0	0	0	0	; 
 	119	120	900	156	6.666667	1	4	0	0	0	0	; 
 	120	12	999999	0	0	0	4	0	0	0	0	; 
 	120	111	900	207	15.666667	1	4	0	0	0	0	; 
 	120	126	900	61	1.666667	1	4	0	0	0	0	; 
 	121	12	999999	0	0	0	4	0	0	0	0	; 
 	121	126	900	22	0.666667	1	4	0	0	0	0	; 
 	122	123	900	147	4.333333	1	4	0	0	0	0	; 
 	122	129	2400	371	27.333333	1	4	0	0	0	0	; 
 	122	213	900	195	7	1	4	0	0	0	0	; 
 	122	350	2400	374	10.666667	1	4	0	0	0	0	; 
 	123	132	900	43	1.333333	1	4	0	0	0	0	; 
 	124	125	900	87	5.333333	1	4	0	0	0	0	; 
 	125	113	900	128	6.333333	1	4	0	0	0	0	; 
 	125	122	900	299	21.333333	1	4	0	0	0	0	; 
 	126	127	900	24	2	1	4	0	0	0	0	; 
 	127	124	900	93	3.333333	1	4	0	0	0	0	; 
 	128	14	999999	0	0	0	4	0	0	0	0	; 
 	128	129	2400	165	11	1	4	0	0	0	0	; 
 	129	14	999999	0	0	0	4	0	0	0	0	; 
 	129	111	900	348	14	1	4	0	0	0	0	; 
 	129	122	2400	371	12.666667	1	4	0	0	0	0	; 
 	129	130	600	100	3	1	4	0	0	0	0	; 
 	129	152	2400	417	15.666667	1	4	0	0	0	0	; 
 	130	14	999999	0	0	0	4	0	0	0	0	; 
 	130	129	600	100	2.333333	1	4	0	0	0	0	; 
 	130	206	600	136	4.666667	1	4	0	0	0	0	; 
 	131	45	2800	54	8	1	4	0	0	0	0	; 
 	131	368	2400	22	1	1	4	0	0	0	0	; 
 	132	125	900	109	3.333333	1	4	0	0	0	0	; 
 	133	14	999999	0	0	0	4	0	0	0	0	; 
 	133	129	900	74	5.666667	1	4	0	0	0	0	; 
 	134	30	999999	0	0	0	4	0	0	0	0	; 
 	134	386	2800	10	0.333333	1	4	0	0	0	0	; 
 	135	117	900	75	9	1	4	0	0	0	0	; 
 	135	136	900	102	2.666667	1	4	0	0	0	0	; 
 	135	137	900	31	0.666667	1	4	0	0	0	0	; 
 	136	135	900	102	3	1	4	0	0	0	0	; 
 	136	137	900	87	2.333333	1	4	0	0	0	0	; 
 	137	135	900	31	0.666667	1	4	0	0	0	0	; 
 	137	136	900	87	2.333333	1	4	0	0	0	0	; 
 	138	139	600	105	4	1	4	0	0	0	0	; 
 	139	140	2800	421	16.333333	1	4	0	0	0	0	; 
 	140	10	999999	0	0	0	4	0	0	0	0	; 
 	140	144	600	103	5.333333	1	4	0	0	0	0	; 
 	140	271	2800	247	8	1	4	0	0	0	0	; 
 	140	274	600	18	1.333333	1	4	0	0	0	1.616849387	; 
 	141	234	900	73	8.333333	1	4	0	0	0	0	; 
 	141	293	900	104	5.333333	1	4	0	0	0	0	; 
 	142	10	999999	0	0	0	4	0	0	0	0	; 
 	143	318	2400	29	1	1	4	0	0	0	0	; 
 	143	334	900	324	8	1	4	0	0	0	0	; 
 	144	10	999999	0	0	0	4	0	0	0	0	; 
 	144	142	600	309	12	1	4	0	0	0	0	; 
 	145	234	600	153	3.666667	1	4	0	0	0	0	; 
 	146	10	999999	0	0	0	4	0	0	0	0	; 
 	146	140	600	289	16.666667	1	4	0	0	0	0	; 
 	147	35	999999	0	0	0	4	0	0	0	0	; 
 	147	149	2400	25	0.666667	1	4	0	0	0	0	; 
 	148	35	999999	0	0	0	4	0	0	0	0	; 
 	148	149	2400	74	2	1	4	0	0	0	0	; 
 	149	35	999999	0	0	0	4	0	0	0	0	; 
 	149	147	2400	25	0.666667	1	4	0	0	0	0	; 
 	149	153	2400	363	19.333333	1	4	0	0	0	0	; 
 	150	35	999999	0	0	0	4	0	0	0	2.370421909	; 
 	150	147	2400	356	21.333333	1	4	0	0	0	0.917772314	; 
 	150	153	2400	16	0.666667	1	4	0	0	0	0	; 
 	151	150	2400	19	0.333333	1	4	0	0	0	2.25379884	; 
 	151	207	2400	218	9.333333	1	4	0	0	0	0	; 
 	152	150	2400	95	12	1	4	0	0	0	0	; 
 	153	178	2400	19	1	1	4	0	0	0	0	; 
 	153	192	2400	99	2.666667	1	4	0	0	0	0	; 
 	154	30	999999	0	0	0	4	0	0	0	0	; 
 	154	155	2400	160	4	1	4	0	0	0	0	; 
 	155	29	999999	0	0	0	4	0	0	0	0	; 
 	155	48	2400	250	19.666667	1	4	0	0	0	0	; 
 	156	29	999999	0	0	0	4	0	0	0	0	; 
 	156	30	999999	0	0	0	4	0	0	0	0	; 
 	156	387	2400	124	2.666667	1	4	0	0	0	0	; 
 	157	29	999999	0	0	0	4	0	0	0	0	; 
 	157	156	2400	69	1.666667	1	4	0	0	0	0	; 
 	158	9	999999	0	0	0	4	0	0	0	0	; 
 	158	159	2800	154	4	1	4	0	0	0	0	; 
 	158	176	2800	33	1.666667	1	4	0	0	0	0	; 
 	159	160	2800	126	7	1	4	0	0	0	0	; 
 	160	49	2800	88	10.666667	1	4	0	0	0	0	; 
 	162	181	2800	41	3.666667	1	4	0	0	0	0	; 
 	162	187	2400	55	1.666667	1	4	0	0	0	0	; 
 	163	54	2800	105	13	1	4	0	0	0	0	; 
 	163	171	900	7	0.333333	1	4	0	0	0	0	; 
 	164	167	600	156	4	1	4	0	0	0	0	; 
 	165	15	999999	0	0	0	4	0	0	0	0	; 
 	165	175	2400	138	3.666667	1	4	0	0	0	0	; 
 	166	13	999999	0	0	0	4	0	0	0	0.26619724	; 
 	166	167	600	101	2.666667	1	4	0	0	0	0	; 
 	167	163	900	138	3.666667	1	4	0	0	0	0	; 
 	167	170	900	185	4.333333	1	4	0	0	0	0	; 
 	168	9	999999	0	0	0	4	0	0	0	0	; 
 	168	169	2800	161	6.333333	1	4	0	0	0	0	; 
 	168	185	2800	34	1	1	4	0	0	0	0	; 
 	169	181	2400	32	0.666667	1	4	0	0	0	0	; 
 	169	225	2800	37	1.333333	1	4	0	0	0	0	; 
 	170	167	900	185	5	1	4	0	0	0	0	; 
 	170	174	600	141	6.666667	1	4	0	0	0	0	; 
 	170	195	900	94	2.333333	1	4	0	0	0	0	; 
 	171	167	900	131	4	1	4	0	0	0	0	; 
 	172	173	600	54	4	1	4	0	0	0	0	; 
 	173	61	600	194	5	1	4	0	0	0	0	; 
 	173	170	600	219	5.333333	1	4	0	0	0	0	; 
 	174	173	600	78	4	1	4	0	0	0	0	; 
 	175	15	999999	0	0	0	4	0	0	0	0	; 
 	175	177	2400	53	1.333333	1	4	0	0	0	0	; 
 	176	9	999999	0	0	0	4	0	0	0	0	; 
 	176	168	2800	40	1	1	4	0	0	0	0	; 
 	176	367	2800	69	1.666667	1	4	0	0	0	0	; 
 	177	15	999999	0	0	0	4	0	0	0	0	; 
 	177	179	2400	108	5.333333	1	4	0	0	0	0	; 
 	178	151	2400	15	1.333333	1	4	0	0	0	0	; 
 	178	170	900	198	5	1	4	0	0	0	0	; 
 	179	178	2800	87	7.333333	1	4	0	0	0	0	; 
 	180	185	2800	144	12.666667	1	4	0	0	0	0	; 
 	181	180	2800	31	2.666667	1	4	0	0	0	0	; 
 	181	187	2400	49	1.333333	1	4	0	0	0	0	; 
 	182	180	2400	107	8.666667	1	4	0	0	0	0	; 
 	183	161	2800	24	1	1	4	0	0	0	0	; 
 	183	184	2800	27	1	1	4	0	0	0	0	; 
 	184	188	2800	344	7.666667	1	4	0	0	0	0	; 
 	185	158	2800	38	3.333333	1	4	0	0	0	0	; 
 	185	189	2800	60	1.666667	1	4	0	0	0	0	; 
 	186	161	600	44	1.333333	1	4	0	0	0	0	; 
 	186	184	2800	60	1.666667	1	4	0	0	0	0	; 
 	187	190	2400	49	1	1	4	0	0	0	0	; 
 	188	158	2800	62	7.666667	1	4	0	0	0	0	; 
 	188	189	2800	39	1	1	4	0	0	0	0	; 
 	189	183	2800	350	9.666667	1	4	0	0	0	0	; 
 	190	165	2400	95	2.333333	1	4	0	0	0	2.8936211	; 
 	191	15	999999	0	0	0	4	0	0	0	0	; 
 	191	182	2400	239	6.666667	1	4	0	0	0	0	; 
 	192	191	2400	172	4.666667	1	4	0	0	0	0	; 
 	193	194	2400	157	10.333333	1	4	0	0	0	0	; 
 	194	204	2400	10	0.333333	1	4	0	0	0	0	; 
 	195	151	900	105	15	1	4	0	0	0	0	; 
 	196	6	999999	0	0	0	4	0	0	0	0	; 
 	196	223	2400	231	11	1	4	0	0	0	0	; 
 	197	194	900	48	6	1	4	0	0	0	0	; 
 	198	200	2400	39	1	1	4	0	0	0	0	; 
 	198	363	900	90	3	1	4	0	0	0	0	; 
 	199	67	2400	281	14	1	4	0	0	0	0	; 
 	200	199	2400	112	2.666667	1	4	0	0	0	0	; 
 	201	13	999999	0	0	0	4	0	0	0	0	; 
 	201	203	600	206	5	1	4	0	0	0	0	; 
 	202	51	2400	67	11.666667	1	4	0	0	0	0	; 
 	203	13	999999	0	0	0	4	0	0	0	0	; 
 	203	206	600	366	9	1	4	0	0	0	0	; 
 	203	210	900	180	4.666667	1	4	0	0	0	0	; 
 	203	398	900	71	2.333333	1	4	0	0	0	0	; 
 	204	198	2400	19	1	1	4	0	0	0	0	; 
 	204	233	2400	22	0.666667	1	4	0	0	0	0	; 
 	205	130	600	52	1.333333	1	4	0	0	0	0	; 
 	206	201	600	160	7	1	4	0	0	0	0	; 
 	206	211	600	63	1.666667	1	4	0	0	0	0	; 
 	207	128	2400	136	6	1	4	0	0	0	0	; 
 	208	209	2800	97	2.666667	1	4	0	0	0	0	; 
 	209	176	2800	154	13.666667	1	4	0	0	0	0	; 
