<NUMBER OF ZONES> 74													
<NUMBER OF NODES> 74													
<FIRST THRU NODE> 1													
<NUMBER OF LINKS> 248													
<NUMBER OF NEW LINKS> 10													
<END OF METADATA>													
													
													
~	Init node	Term node	Capacity	Length	Free Flow Time	B	Power	Speed limit	Toll	Type	Cost	;	
8	11	6000	5.919129	0.085073	0.15	4	0	0	0	0.006321548			
11	8	6000	5.949186	0.085183	0.15	4	0	0	0	0.018366759			
8	16	6441.70193	12.635124	0.177718	0.15	4	0	0	0	0.001355524			
16	8	4445.01501	12.54521	0.176796	0.15	4	0	0	0	0.003231505			
9	12	973.89264	5.229189	0.14344	0.15	4	0	0	0	0.016438538			
12	9	970.976785	5.395143	0.142648	0.15	4	0	0	0	0.014060354			
9	13	875	2.987829	0.064058	0.15	4	0	0	0	0.001749006			
13	9	875	3.036319	0.06509	0.15	4	0	0	0	0.012069969			
10	11	8000	1.839467	0.026278	0.15	4	0	0	0	0.002204183			
11	10	8000	1.804264	0.026149	0.15	4	0	0	0	0.011357764			
10	18	3900	10.528474	0.151084	0.15	4	0	0	0	0.013017353			
18	10	2913.625342	10.484211	0.149754	0.15	4	0	0	0	0.010406739			
10	20	5719.303943	11.754735	0.166898	0.15	4	0	0	0	0.017388383			
20	10	6009.002354	11.782103	0.169507	0.15	4	0	0	0	0.001816364			
11	19	1124.407633	12.511216	0.375603	0.15	4	0	0	0	0.006329085			
19	11	1617.706447	12.212523	0.372797	0.15	4	0	0	0	0.016673734			
13	14	4394.231889	8.285083	0.135662	0.15	4	0	0	0	0.011451396			
14	13	4320.225018	7.525413	0.125066	0.15	4	0	0	0	0.004723765			
13	15	1910.935331	8.419362	0.285875	0.15	4	0	0	0	0.019434214			
15	13	2863.541072	8.467007	0.296532	0.15	4	0	0	0	0.017860958			
14	17	5946.288757	6.761203	0.101234	0.15	4	0	0	0	0.015962335			
17	14	4904.241929	6.898849	0.105394	0.15	4	0	0	0	0.009077507			
14	22	2840.485893	8.568056	0.152652	0.15	4	0	0	0	0.011074899			
22	14	2895.84662	8.369572	0.146429	0.15	4	0	0	0	0.017641542			
16	17	6321.013829	1.349797	0.021253	0.15	4	0	0	0	0.00221293			
17	16	4209.45379	1.357842	0.022086	0.15	4	0	0	0	0.000929307			
16	19	6703.328686	4.582719	0.068955	0.15	4	0	0	0	0.002504435			
19	16	7034.073767	4.452518	0.069246	0.15	4	0	0	0	0.013356704			
16	22	4469.882549	3.367288	0.048602	0.15	4	0	0	0	0.013563788			
22	16	7627.741159	3.429105	0.048681	0.15	4	0	0	0	0.003108502			
17	22	1886.210086	5.321009	0.173992	0.15	4	0	0	0	0.010856649			
22	17	1884.190009	5.315025	0.16739	0.15	4	0	0	0	0.015558213			
18	19	6192.450268	2.349796	0.035226	0.15	4	0	0	0	0.019690972			
19	18	6293.127608	3.548771	0.055958	0.15	4	0	0	0	0.015708571			
18	21	8000	5.453573	0.079145	0.15	4	0	0	0	0.003311363			
21	18	5449.818119	5.457316	0.079639	0.15	4	0	0	0	0.010092202			
19	22	2023.075785	5.818844	0.181953	0.15	4	0	0	0	0.018850116			
22	19	1606.326133	5.791542	0.177751	0.15	4	0	0	0	0.015926596			
20	21	2644.724412	16.461817	0.298718	0.15	4	0	0	0	0.00192301			
21	20	2416.390697	15.442909	0.280603	0.15	4	0	0	0	0.007849781			
20	30	6000	13.283225	0.185326	0.15	4	0	0	0	0.002021293			
30	20	6000	13.29571	0.187372	0.15	4	0	0	0	0.014083726			
20	58	2479.370349	12.263938	0.187847	0.15	4	0	0	0	0.019364108			
58	20	2630.412693	12.556028	0.190582	0.15	4	0	0	0	0.017207494			
21	22	4493.711985	6.798869	0.105465	0.15	4	0	0	0	0.00703827			
22	21	4495.928831	6.721773	0.104238	0.15	4	0	0	0	0.019515607			
21	23	8000	4.525775	0.066967	0.15	4	0	0	0	0.013647111			
23	21	8000	4.543421	0.066174	0.15	4	0	0	0	0.010560467			
22	23	877.861868	4.583763	0.178312	0.15	4	0	0	0	0.006567181			
23	22	960.16703	4.508858	0.178258	0.15	4	0	0	0	0.001565023			
22	25	2853.10466	8.906273	0.209962	0.15	4	0	0	0	0.00945164			
25	22	1506.692042	8.306624	0.190037	0.15	4	0	0	0	0.011009039			
22	28	2080.186891	8.608119	0.259227	0.15	4	0	0	0	0.009436049			
28	22	2102.073051	8.5999	0.257355	0.15	4	0	0	0	0.005766384			
22	29	5879.862476	5.869561	0.096405	0.15	4	0	0	0	0.000521965			
29	22	1423.685694	5.650089	0.093035	0.15	4	0	0	0	0.013713263			
22	40	2210.802571	12.22222	0.456892	0.15	4	0	0	0	0.004826785			
40	22	1664.447067	11.916418	0.446617	0.15	4	0	0	0	0.003969138			
23	24	8000	2.43626	0.036689	0.15	4	0	0	0	0.008735283			
24	23	8000	2.403902	0.035789	0.15	4	0	0	0	0.008073439			
23	31	1139.317496	16.652993	0.458553	0.15	4	0	0	0	0.014778436			
31	23	904.280899	16.79992	0.466823	0.15	4	0	0	0	0.012466253			
24	25	4500	1.687604	0.026787	0.15	4	0	0	0	0.010714779			
25	24	3600	1.678461	0.026642	0.15	4	0	0	0	0.009948994			
24	26	7980.28931	1.645865	0.023691	0.15	4	0	0	0	0.008572778			
26	24	8000	1.061605	0.015691	0.15	4	0	0	0	0.019277084			
24	33	3559.213894	11.986122	0.171367	0.15	4	0	0	0	0.010369565			
33	24	5555.608069	11.945303	0.17295	0.15	4	0	0	0	0.007498572			
25	26	1750	1.92832	0.060308	0.15	4	0	0	0	0.005349292			
26	25	2372.861722	1.812974	0.056615	0.15	4	0	0	0	0.00614582			
26	27	1316.906179	1.569673	0.050181	0.15	4	0	0	0	0.018970017			
27	26	985.369469	1.572847	0.050573	0.15	4	0	0	0	0.016728959			
26	28	7731.459177	1.792193	0.027124	0.15	4	0	0	0	0.009925489			
28	26	8332.485651	1.545397	0.023266	0.15	4	0	0	0	0.002943208			
27	28	2020.835188	2.382525	0.04948	0.15	4	0	0	0	0.006880201			
28	27	1906.378666	2.307315	0.048994	0.15	4	0	0	0	0.00321057			
27	33	2656.304461	10.419637	0.227875	0.15	4	0	0	0	0.012036539			
27	35	1139.332695	17.006678	0.461083	0.15	4	0	0	0	0.007580617			
35	27	1388.367239	17.005568	0.464692	0.15	4	0	0	0	0.013576724			
37	28	7118.104798	8.018881	0.122455	0.15	4	0	0	0	0.005377437			
29	41	4266.616474	4.915497	0.078876	0.15	4	0	0	0	0.006783403			
29	49	1060.253828	32.389346	0.862656	0.15	4	0	0	0	0.012314879			
49	29	1117.781868	32.299122	0.877102	0.15	4	0	0	0	0.017275281			
30	31	6000	2.321757	0.032359	0.15	4	0	0	0	0.013160508			
31	30	6000	2.26633	0.032998	0.15	4	0	0	0	0.016437513			
32	31	5459.290242	4.232368	0.060355	0.15	4	0	0	0	0.000619593			
31	60	965.579981	6.729821	0.176349	0.15	4	0	0	0	0.004655331			
60	31	1055.139505	6.734278	0.179319	0.15	4	0	0	0	0.007464086			
32	33	2423.744805	4.98108	0.096065	0.15	4	0	0	0	0.003476813			
33	32	2621.675199	4.952494	0.098353	0.15	4	0	0	0	0.013831615			
32	34	2987.327149	1.806379	0.026445	0.15	4	0	0	0	0.010693995			
34	32	4790.345753	1.888502	0.026979	0.15	4	0	0	0	0.019993347			
32	60	2599.322451	5.513571	0.11114	0.15	4	0	0	0	0.01508612			
60	32	2614.736215	5.443441	0.108607	0.15	4	0	0	0	0.001825746			
33	34	5444.285031	4.951073	0.067686	0.15	4	0	0	0	0.01308937			
34	33	5400	4.890894	0.067929	0.15	4	0	0	0	0.011197377			
34	35	5470.884476	9.338509	0.13036	0.15	4	0	0	0	0.012842796			
35	34	6000	9.213129	0.129099	0.15	4	0	0	0	0.015478356			
34	60	5898.700106	10.077606	0.140899	0.15	4	0	0	0	0.00851568			
60	34	5784.05003	14.807024	0.207543	0.15	4	0	0	0	0.015363887			
36	35	6000	6.854679	0.096513	0.15	4	0	0	0	0.004152636			
35	71	1957.382228	3.665728	0.119188	0.15	4	0	0	0	0.013248218			
71	35	1576.243145	3.666941	0.120317	0.15	4	0	0	0	0.019557646			
36	43	875	8.551889	0.23694	0.15	4	0	0	0	0.003921009			
43	36	875	8.474892	0.227668	0.15	4	0	0	0	0.003637448			
36	44	6000	8.148498	0.113432	0.15	4	0	0	0	0.003826969			
44	36	5867.300085	7.709684	0.10728	0.15	4	0	0	0	0.018238143			
36	71	1058.124261	7.348533	0.20547	0.15	4	0	0	0	0.004817265			
71	36	1017.341605	7.337551	0.203815	0.15	4	0	0	0	0.019454345			
37	38	5815.725402	3.188718	0.047781	0.15	4	0	0	0	0.019465032			
37	42	1816.106654	7.634186	0.169636	0.15	4	0	0	0	0.001892751			
42	37	1809.167052	7.710594	0.172289	0.15	4	0	0	0	0.006383549			
38	39	5733.056963	3.167668	0.04926	0.15	4	0	0	0	0.004055059			
39	38	6422.20606	3.103793	0.048731	0.15	4	0	0	0	0.019578068			
38	42	6000	6.15328	0.086214	0.15	4	0	0	0	0.011661176			
42	38	5747.695049	6.951621	0.101052	0.15	4	0	0	0	0.011183583			
39	40	7532.420303	1.292279	0.018762	0.15	4	0	0	0	0.014443949			
40	39	8352.013267	1.307139	0.019853	0.15	4	0	0	0	0.00944899			
39	48	4371.132753	17.539958	0.245609	0.15	4	0	0	0	0.002941971			
48	39	5233.501727	18.147037	0.255123	0.15	4	0	0	0	7.79147E-05			
40	41	6101.8896	3.486548	0.052977	0.15	4	0	0	0	0.017510652			
41	40	6005.599197	3.224867	0.049483	0.15	4	0	0	0	0.007847722			
40	48	1003.245496	21.89935	0.624606	0.15	4	0	0	0	0.003920537			
48	40	1688.727995	21.947445	0.646177	0.15	4	0	0	0	0.008985709			
41	49	2188.67685	32.819901	0.573397	0.15	4	0	0	0	0.016384918			
49	41	2459.63678	32.92469	0.5831	0.15	4	0	0	0	1.08062E-05			
42	43	1518.910867	3.96588	0.082974	0.15	4	0	0	0	0.017022081			
43	42	1921.767308	3.971168	0.086944	0.15	4	0	0	0	0.001703008			
42	45	6000	6.062719	0.084105	0.15	4	0	0	0	0.005960224			
45	42	6000	6.256131	0.08731	0.15	4	0	0	0	0.011688842			
43	44	1750	3.491125	0.065806	0.15	4	0	0	0	0.005664269			
44	43	1763.71284	3.564476	0.068433	0.15	4	0	0	0	0.01732077			
43	45	1828.679811	4.080103	0.107891	0.15	4	0	0	0	0.0014174			
45	43	1213.74346	4.141357	0.108835	0.15	4	0	0	0	0.017407144			
44	46	6000	3.243509	0.045602	0.15	4	0	0	0	0.019379732			
46	44	6000	3.245762	0.045613	0.15	4	0	0	0	0.003332382			
44	54	1745.164116	10.076888	0.262186	0.15	4	0	0	0	0.015959119			
54	44	1860.992488	10.01443	0.262637	0.15	4	0	0	0	0.0041995			
45	46	6000	1.889485	0.026912	0.15	4	0	0	0	0.006860487			
46	45	4768.359065	1.960857	0.027521	0.15	4	0	0	0	0.013862226			
45	47	2462.627044	3.422107	0.076107	0.15	4	0	0	0	0.0093451			
47	45	2262.705882	3.687148	0.081303	0.15	4	0	0	0	0.006125119			
46	47	6000	2.860027	0.040511	0.15	4	0	0	0	0.003868081			
47	46	4074.530263	2.87056	0.040089	0.15	4	0	0	0	0.015037895			
46	54	5972.591129	11.279298	0.157395	0.15	4	0	0	0	0.012345541			
54	46	5779.651242	11.207469	0.153831	0.15	4	0	0	0	0.01747697			
47	48	1285.011529	10.53047	0.274471	0.15	4	0	0	0	0.011916117			
48	47	825	10.299169	0.269385	0.15	4	0	0	0	0.008870929			
74	47	3317.446565	5.749452	0.079733	0.15	4	0	0	0	0.001018			
48	49	2121.019835	14.622122	0.246443	0.15	4	0	0	0	0.005243794			
49	48	2063.929153	14.61995	0.244123	0.15	4	0	0	0	0.017520032			
48	51	2121.346035	29.323021	0.575118	0.15	4	0	0	0	0.019772203			
51	48	2173.005205	29.502822	0.570832	0.15	4	0	0	0	0.010199705			
48	52	1884.440173	16.8827	0.238143	0.15	4	0	0	0	0.015599903			
52	48	2415.093648	17.008577	0.240483	0.15	4	0	0	0	0.007073693			
48	53	2164.620818	14.062639	0.201959	0.15	4	0	0	0	0.019865684			
53	48	2000	14.18733	0.204566	0.15	4	0	0	0	0.005151694			
48	54	1893.169265	15.00614	0.355088	0.15	4	0	0	0	0.006846966			
54	48	1755.928729	15.083883	0.361317	0.15	4	0	0	0	0.012710985			
48	74	6000	8.050591	0.111477	0.15	4	0	0	0	0.012398014			
74	48	6000	7.025985	0.097934	0.15	4	0	0	0	0.015226412			
49	50	2664.129248	13.039072	0.187173	0.15	4	0	0	0	0.017660545			
50	49	2928.314458	13.189106	0.188388	0.15	4	0	0	0	0.003646342			
49	73	825.846988	8.533461	0.249452	0.15	4	0	0	0	0.013880406			
73	49	825	8.539432	0.253689	0.15	4	0	0	0	0.002755331			
50	51	2000	15.449374	0.288628	0.15	4	0	0	0	0.009057923			
51	50	2000	16.020354	0.294092	0.15	4	0	0	0	0.011340901			
50	73	825	8.473072	0.211827	0.15	4	0	0	0	0.005427556			
73	50	825	8.473072	0.211827	0.15	4	0	0	0	0.017686302			
51	52	2000	14.949057	0.213478	0.15	4	0	0	0	0.007959765			
52	51	2000	14.931071	0.21205	0.15	4	0	0	0	0.011580048			
52	53	2000	8.710908	0.124295	0.15	4	0	0	0	0.004585387			
53	52	2000	8.791252	0.124731	0.15	4	0	0	0	0.019734076			
53	54	2000	13.929966	0.200888	0.15	4	0	0	0	0.002571874			
54	53	2000	13.938593	0.204645	0.15	4	0	0	0	0.016604758			
55	57	2000	9.342478	0.187275	0.15	4	0	0	0	0.008647263			
57	55	2000	9.139465	0.183314	0.15	4	0	0	0	0.015050795			
56	57	2000	10.255872	0.158886	0.15	4	0	0	0	0.003770393			
57	56	2000	10.442469	0.162691	0.15	4	0	0	0	0.011751036			
57	58	2000	10.358965	0.162372	0.15	4	0	0	0	0.018592452			
58	57	2000	10.189568	0.157897	0.15	4	0	0	0	0.001687943			
57	59	2000	11.36016	0.266545	0.15	4	0	0	0	0.007987104			
59	57	2000	11.354891	0.263774	0.15	4	0	0	0	0.007533357			
58	59	2000	9.144294	0.13057	0.15	4	0	0	0	0.009160879			
59	58	2000	9.303475	0.135526	0.15	4	0	0	0	0.014782297			
59	60	2000	8.141116	0.11898	0.15	4	0	0	0	0.005264323			
60	59	2000	8.495865	0.124498	0.15	4	0	0	0	0.001552462			
59	72	2000	3.113282	0.080857	0.15	4	0	0	0	0.013725032			
72	59	2000	3.106375	0.081947	0.15	4	0	0	0	0.012113703			
60	61	2000	24.836979	0.649394	0.15	4	0	0	0	0.002479911			
61	60	2000	24.834966	0.649959	0.15	4	0	0	0	0.000515086			
60	63	2000	9.667444	0.135342	0.15	4	0	0	0	0.015105326			
63	60	2000	9.769817	0.13867	0.15	4	0	0	0	0.004213991			
60	65	2000	11.630476	0.244542	0.15	4	0	0	0	0.017677929			
65	60	2000	11.588988	0.240716	0.15	4	0	0	0	0.01675498			
60	67	2000	8.630658	0.126147	0.15	4	0	0	0	0.00127517			
67	60	2000	8.971461	0.130509	0.15	4	0	0	0	0.006122938			
60	69	2075.828365	12.157808	0.192359	0.15	4	0	0	0	0.012919998			
69	60	2333.427091	11.789682	0.18314	0.15	4	0	0	0	0.012107176			
60	71	1400.478511	12.851941	0.339724	0.15	4	0	0	0	0.002372193			
71	60	1400.154626	12.851941	0.33739	0.15	4	0	0	0	0.011187861			
60	72	2000	4.619147	0.112396	0.15	4	0	0	0	0.017791089			
72	60	2000	4.619147	0.109156	0.15	4	0	0	0	0.002307049			
62	63	2000	3.711357	0.052273	0.15	4	0	0	0	0.014481835			
63	62	2000	4.075201	0.058217	0.15	4	0	0	0	0.017174718			
63	65	2000	1.377317	0.026395	0.15	4	0	0	0	0.006337503			
65	63	2000	1.512241	0.028621	0.15	4	0	0	0	0.012667748			
64	65	2000	3.254047	0.082705	0.15	4	0	0	0	0.008310346			
65	64	2000	3.077846	0.08412	0.15	4	0	0	0	0.007478632			
65	66	2000	6.352585	0.088355	0.15	4	0	0	0	0.013110357			
66	65	2000	6.913756	0.096311	0.15	4	0	0	0	0.011317398			
67	68	2000	2.647231	0.039206	0.15	4	0	0	0	0.015025462			
68	67	2000	2.867757	0.041562	0.15	4	0	0	0	0.008800379			
67	69	2000	11.765242	0.279353	0.15	4	0	0	0	0.007924867			
69	67	2000	11.765242	0.281204	0.15	4	0	0	0	0.008128064			
69	70	3179.348082	5.334022	0.077249	0.15	4	0	0	0	0.003468054			
70	69	2919.745558	5.893052	0.082871	0.15	4	0	0	0	0.001636789			
69	71	875	8.992124	0.23159	0.15	4	0	0	0	0.006518665			
71	69	1145.20634	8.985699	0.236104	0.15	4	0	0	0	0.017082817			
													
													
													
													
													
													
													
													
													
													
